,aws,google,azure,gpt,percentage_words_modified
baseline,0.4561216039012071,0.468849057109288,0.4679898124004757,0.4285416340728897,0.0
confusing_word_10,0.4228095535642235,0.43191167615286924,0.42829812778576376,0.4137546058988187,6.185831622
confusing_word_20,0.3946477803963569,0.3981808173731689,0.38524945735585653,0.397556669590258,11.89842146
confusing_word_35,0.34925307117658827,0.34794995282549945,0.32751366963605594,0.375579471728994,20.74403234
confusing_letter_2_5,0.4333745816255321,0.4293313178138173,0.394117806787871,0.41753950895732683,11.14925565
confusing_letter_5,0.4176597514390514,0.3950420951080804,0.3341500279418801,0.407587370888209,20.38308522
confusing_letter_10,0.37871001647624586,0.3266538631479847,0.2318586479176728,0.384124412607989,36.82623203
confusing_letter_20,0.32217535818905696,0.2266752915565537,0.1112617703933775,0.35604968181957347,58.71566992
homophone_10,0.44279539557494685,0.4541487256933385,0.45045824380093613,0.42580853160452126,3.068852669
homophone_20,0.43504607028475767,0.44097027954968593,0.43381136064167847,0.4226973594545273,5.921137064
homophone_35,0.4176134385313201,0.42138566156176005,0.41062904764039,0.41870717384344175,10.45623717
homophone_70,0.378657269655953,0.3650045049128113,0.34968326680656686,0.40680339654740505,20.97022587
