,aws,google,azure,gpt
baseline,69911,68149,69290,69772
confusing_word_10,70702,68769,69799,70111
confusing_word_20,71333,69267,70120,70249
confusing_word_35,72607,70321,70956,70460
confusing_letter_2_5,70203,68170,68956,69693
confusing_letter_5,70345,68234,68415,69814
confusing_letter_10,70789,68203,67403,69705
confusing_letter_20,71985,68058,65195,69805
homophone_10,70255,68451,69535,69770
homophone_20,70458,68893,69746,69839
homophone_35,70722,69142,69958,69890
homophone_70,71696,70121,70478,69935
