,aws,google,azure,gpt,percentage_words_modified
baseline,0.4680389253834323,0.4476275352527706,0.4546565280512872,0.49006022797510385,0.0
confusing_word_10,0.5033563799968377,0.48719975851313085,0.4960399028302836,0.5045206916873894,6.185831622
confusing_word_20,0.534102833158447,0.5226897037473588,0.5393206744383274,0.5207779326999095,11.89842146
confusing_word_35,0.5898748005577197,0.58159525075824,0.6066351392143052,0.5484339289051158,20.74403234
confusing_letter_2_5,0.4888096709741408,0.4797107907257543,0.516250053903319,0.49798042231453665,11.14925565
confusing_letter_5,0.5024508042375195,0.5092066868864006,0.5695065330822636,0.5068924377236987,20.38308522
confusing_letter_10,0.5389469447598787,0.5742356509364803,0.6718797165404131,0.5302792910635484,36.82623203
confusing_letter_20,0.6042346447411922,0.6822722764449684,0.816656844284092,0.563857465250327,58.71566992
homophone_10,0.4803720047722405,0.46210237318345815,0.47253805574321894,0.49131078497606695,3.068852669
homophone_20,0.4893702654918139,0.4786327243456137,0.48859405769811265,0.494616855208498,5.921137064
homophone_35,0.5080423751958487,0.49823915824577036,0.5123833891532148,0.4985697652690135,10.45623717
homophone_70,0.5509781655622475,0.5579496614871566,0.5773261078928833,0.5104716181057655,20.97022587
