dataset,p_homophone,p_letter,p_confusing_word,homophones_injected,letters_swapped,confusing_words_injected,words_modified,sentences_changed,sentences,words,letters,percentage_sentences_changed,percentage_words_modified,percentage_words_swapped_for_homophones,percentage_words_swapped_for_confusing_words,percentage_letters_swapped
wmt14_en,0.0,0.0,0.0,0,0,0,0,0,3003,62336,362045,0.0,0.0,0.0,0.0,0.0
wmt14_en,0.05,0.0,0.0,957,0,0,957,786,3003,62336,362045,26.17382617,1.535228439,1.535228439,0.0,0.0
wmt14_en,0.1,0.0,0.0,1913,0,0,1913,1324,3003,62336,362045,44.08924409,3.068852669,3.068852669,0.0,0.0
wmt14_en,0.15,0.0,0.0,2787,0,0,2787,1710,3003,62336,362045,56.94305694,4.470931725,4.470931725,0.0,0.0
wmt14_en,0.2,0.0,0.0,3691,0,0,3691,2003,3003,62336,362045,66.6999667,5.921137064,5.921137064,0.0,0.0
wmt14_en,0.25,0.0,0.0,4750,0,0,4750,2213,3003,62336,362045,73.69297369,7.619994867,7.619994867,0.0,0.0
wmt14_en,0.3,0.0,0.0,5638,0,0,5638,2353,3003,62336,362045,78.35497835,9.044532854,9.044532854,0.0,0.0
wmt14_en,0.35,0.0,0.0,6518,0,0,6518,2451,3003,62336,362045,81.61838162,10.45623717,10.45623717,0.0,0.0
wmt14_en,0.4,0.0,0.0,7437,0,0,7437,2562,3003,62336,362045,85.31468531,11.93050565,11.93050565,0.0,0.0
wmt14_en,0.45,0.0,0.0,8392,0,0,8392,2653,3003,62336,362045,88.34498834,13.46252567,13.46252567,0.0,0.0
wmt14_en,0.5,0.0,0.0,9440,0,0,9440,2690,3003,62336,362045,89.57708958,15.14373717,15.14373717,0.0,0.0
wmt14_en,0.55,0.0,0.0,10282,0,0,10282,2761,3003,62336,362045,91.94139194,16.49448152,16.49448152,0.0,0.0
wmt14_en,0.6,0.0,0.0,11163,0,0,11163,2800,3003,62336,362045,93.24009324,17.90779004,17.90779004,0.0,0.0
wmt14_en,0.65,0.0,0.0,12091,0,0,12091,2821,3003,62336,362045,93.93939394,19.39649641,19.39649641,0.0,0.0
wmt14_en,0.7,0.0,0.0,13072,0,0,13072,2837,3003,62336,362045,94.47219447,20.97022587,20.97022587,0.0,0.0
wmt14_en,0.75,0.0,0.0,13906,0,0,13906,2875,3003,62336,362045,95.73759574,22.30813655,22.30813655,0.0,0.0
wmt14_en,0.8,0.0,0.0,14933,0,0,14933,2896,3003,62336,362045,96.43689644,23.95565965,23.95565965,0.0,0.0
wmt14_en,0.85,0.0,0.0,15865,0,0,15865,2908,3003,62336,362045,96.83649684,25.45078285,25.45078285,0.0,0.0
wmt14_en,0.9,0.0,0.0,16720,0,0,16720,2915,3003,62336,362045,97.06959707,26.82238193,26.82238193,0.0,0.0
wmt14_en,0.95,0.0,0.0,17760,0,0,17760,2933,3003,62336,362045,97.66899767,28.49075975,28.49075975,0.0,0.0
wmt14_en,1.0,0.0,0.0,18646,0,0,18646,2941,3003,62336,362045,97.93539794,29.91208932,29.91208932,0.0,0.0
wmt14_en,0.0,0.0,0.0,0,0,0,0,0,3003,62336,362045,0.0,0.0,0.0,0.0,0.0
wmt14_en,0.0,0.0,0.05,0,0,1827,1827,1303,3003,62336,362045,43.38994339,2.930890657,0.0,2.930890657,0.0
wmt14_en,0.0,0.0,0.1,0,0,3856,3856,2007,3003,62336,362045,66.83316683,6.185831622,0.0,6.185831622,0.0
wmt14_en,0.0,0.0,0.15,0,0,5531,5531,2348,3003,62336,362045,78.18847819,8.872882444,0.0,8.872882444,0.0
wmt14_en,0.0,0.0,0.2,0,0,7417,7417,2588,3003,62336,362045,86.18048618,11.89842146,0.0,11.89842146,0.0
wmt14_en,0.0,0.0,0.25,0,0,9191,9191,2699,3003,62336,362045,89.87678988,14.74428901,0.0,14.74428901,0.0
wmt14_en,0.0,0.0,0.3,0,0,11010,11010,2775,3003,62336,362045,92.40759241,17.662346,0.0,17.662346,0.0
wmt14_en,0.0,0.0,0.35,0,0,12931,12931,2853,3003,62336,362045,95.004995,20.74403234,0.0,20.74403234,0.0
wmt14_en,0.0,0.0,0.4,0,0,14595,14595,2882,3003,62336,362045,95.97069597,23.41343686,0.0,23.41343686,0.0
wmt14_en,0.0,0.0,0.45,0,0,16800,16800,2908,3003,62336,362045,96.83649684,26.95071869,0.0,26.95071869,0.0
wmt14_en,0.0,0.0,0.5,0,0,18615,18615,2946,3003,62336,362045,98.1018981,29.86235883,0.0,29.86235883,0.0
wmt14_en,0.0,0.0,0.55,0,0,20201,20201,2945,3003,62336,362045,98.06859807,32.40663501,0.0,32.40663501,0.0
wmt14_en,0.0,0.0,0.6,0,0,22056,22056,2953,3003,62336,362045,98.33499833,35.38244353,0.0,35.38244353,0.0
wmt14_en,0.0,0.0,0.65,0,0,23767,23767,2961,3003,62336,362045,98.6013986,38.12724589,0.0,38.12724589,0.0
wmt14_en,0.0,0.0,0.7,0,0,25830,25830,2976,3003,62336,362045,99.1008991,41.43672998,0.0,41.43672998,0.0
wmt14_en,0.0,0.0,0.75,0,0,27584,27584,2975,3003,62336,362045,99.06759907,44.25051335,0.0,44.25051335,0.0
wmt14_en,0.0,0.0,0.8,0,0,29434,29434,2983,3003,62336,362045,99.33399933,47.21830082,0.0,47.21830082,0.0
wmt14_en,0.0,0.0,0.85,0,0,31161,31161,2988,3003,62336,362045,99.5004995,49.98877053,0.0,49.98877053,0.0
wmt14_en,0.0,0.0,0.9,0,0,33209,33209,2990,3003,62336,362045,99.56709957,53.27419148,0.0,53.27419148,0.0
wmt14_en,0.0,0.0,0.95,0,0,34969,34969,2991,3003,62336,362045,99.6003996,56.0976001,0.0,56.0976001,0.0
wmt14_en,0.0,0.0,1.0,0,0,36814,36814,2993,3003,62336,362045,99.66699967,59.05736653,0.0,59.05736653,0.0
wmt14_en,0.0,0.0,0.0,0,0,0,0,0,3003,62336,362045,0.0,0.0,0.0,0.0,0.0
wmt14_en,0.0,0.025,0.0,0,6994,0,6950,2538,3003,62336,362045,84.51548452,11.14925565,0.0,0.0,1.931804058
wmt14_en,0.0,0.05,0.0,0,12887,0,12706,2864,3003,62336,362045,95.37129537,20.38308522,0.0,0.0,3.559502272
wmt14_en,0.0,0.1,0.0,0,23536,0,22956,2972,3003,62336,362045,98.96769897,36.82623203,0.0,0.0,6.500849342
